1,PD000001,"プレゼント用Shop Point",友達にSPをプレゼントできます,友達へのお祝いに！,0,0,0
221,PD003111,1年生用強化保険証,武器を+4以上に強化する時、成功率が母数の70％アップし、失敗しても未強化状態の武器で補償されます,特約付も入ってます！,0,0,0
222,PD003112,2年生用強化保険証,武器を+4以上に強化する時、成功率が母数の70％アップし、失敗しても未強化状態の武器で補償されます,特約付も入ってます！,0,0,0
223,PD003113,3年生用強化保険証,武器を+4以上に強化する時、成功率が母数の70％アップし、失敗しても未強化状態の武器で補償されます,特約付も入ってます！,0,0,0
224,PD003114,4年生用強化保険証,武器を+4以上に強化する時、成功率が母数の70％アップし、失敗しても未強化状態の武器で補償されます,特約付も入ってます！,0,0,0
225,PD003115,5年生用強化保険証,武器を+4以上に強化する時、成功率が母数の70％アップし、失敗しても未強化状態の武器で補償されます,特約付も入ってます！,0,0,0
226,PD003111,特約付・1年生用強化保険証,武器を+4以上に強化する時、成功率が母数の70％アップし、失敗しても強化に挑戦する前の状態の武器で補償されます,お売り出来ません！,0,0,0
227,PD003112,特約付・2年生用強化保険証,武器を+4以上に強化する時、成功率が母数の70％アップし、失敗しても強化に挑戦する前の状態の武器で補償されます,お売り出来ません！,0,0,0
228,PD003113,特約付・3年生用強化保険証,武器を+4以上に強化する時、成功率が母数の70％アップし、失敗しても強化に挑戦する前の状態の武器で補償されます,お売り出来ません！,0,0,0
229,PD003114,特約付・4年生用強化保険証,武器を+4以上に強化する時、成功率が母数の70％アップし、失敗しても強化に挑戦する前の状態の武器で補償されます,お売り出来ません！,0,0,0
230,PD003115,特約付・5年生用強化保険証,武器を+4以上に強化する時、成功率が母数の70％アップし、失敗しても強化に挑戦する前の状態の武器で補償されます,お売り出来ません！,0,0,0
231,PD010090,サッカー応援ハチマキ,"男子生徒用　サッカー応援ハチマキを 1日間利用できます",期間限定制服！,1,0,20001
232,PD010090,サッカー応援ハチマキ,"男子生徒用　サッカー応援ハチマキを 3日間利用できます",期間限定制服！,1,0,20003
233,PD010090,サッカー応援ハチマキ,"男子生徒用　サッカー応援ハチマキを 7日間利用できます",期間限定制服！,1,0,20007
234,PD010090,サッカー応援ハチマキ,"男子生徒用　サッカー応援ハチマキを 30日間利用できます",期間限定制服！,1,0,20030
235,PD010090,サッカー応援ハチマキ,"男子生徒用　サッカー応援ハチマキを 3ヶ月間利用できます",期間限定制服！,1,0,20090
236,PD010090,サッカー応援ハチマキ,"男子生徒用　サッカー応援ハチマキを 6ヶ月間利用できます",期間限定制服！,1,0,20180
237,PD010090,サッカー応援ハチマキ,"男子生徒用　サッカー応援ハチマキを 1年間利用できます",期間限定制服！,1,0,20365
238,PD010091,サッカー応援タンクトップ,"男子生徒用　サッカー応援タンクトップを 1日間利用できます",期間限定制服！,1,0,20001
239,PD010091,サッカー応援タンクトップ,"男子生徒用　サッカー応援タンクトップを 3日間利用できます",期間限定制服！,1,0,20003
240,PD010091,サッカー応援タンクトップ,"男子生徒用　サッカー応援タンクトップを 7日間利用できます",期間限定制服！,1,0,20007
241,PD010091,サッカー応援タンクトップ,"男子生徒用　サッカー応援タンクトップを 30日間利用できます",期間限定制服！,1,0,20030
242,PD010091,サッカー応援タンクトップ,"男子生徒用　サッカー応援タンクトップを 3ヶ月間利用できます",期間限定制服！,1,0,20090
243,PD010091,サッカー応援タンクトップ,"男子生徒用　サッカー応援タンクトップを 6ヶ月間利用できます",期間限定制服！,1,0,20180
244,PD010091,サッカー応援タンクトップ,"男子生徒用　サッカー応援タンクトップを 1年間利用できます",期間限定制服！,1,0,20365
245,PD010092,サッカー応援ズボン,"男子生徒用　サッカー応援ズボンを 1日間利用できます",期間限定制服！,1,0,20001
246,PD010092,サッカー応援ズボン,"男子生徒用　サッカー応援ズボンを 3日間利用できます",期間限定制服！,1,0,20003
247,PD010092,サッカー応援ズボン,"男子生徒用　サッカー応援ズボンを 7日間利用できます",期間限定制服！,1,0,20007
248,PD010092,サッカー応援ズボン,"男子生徒用　サッカー応援ズボンを 30日間利用できます",期間限定制服！,1,0,20030
249,PD010092,サッカー応援ズボン,"男子生徒用　サッカー応援ズボンを 3ヶ月間利用できます",期間限定制服！,1,0,20090
250,PD010092,サッカー応援ズボン,"男子生徒用　サッカー応援ズボンを 6ヶ月間利用できます",期間限定制服！,1,0,20180
251,PD010092,サッカー応援ズボン,"男子生徒用　サッカー応援ズボンを 1年間利用できます",期間限定制服！,1,0,20365
252,PD010093,サッカー応援シューズ,"男子生徒用　サッカー応援シューズを 1日間利用できます",期間限定制服！,1,0,20001
253,PD010093,サッカー応援シューズ,"男子生徒用　サッカー応援シューズを 3日間利用できます",期間限定制服！,1,0,20003
254,PD010093,サッカー応援シューズ,"男子生徒用　サッカー応援シューズを 7日間利用できます",期間限定制服！,1,0,20007
255,PD010093,サッカー応援シューズ,"男子生徒用　サッカー応援シューズを 30日間利用できます",期間限定制服！,1,0,20030
256,PD010093,サッカー応援シューズ,"男子生徒用　サッカー応援シューズを 3ヶ月間利用できます",期間限定制服！,1,0,20090
257,PD010093,サッカー応援シューズ,"男子生徒用　サッカー応援シューズを 6ヶ月間利用できます",期間限定制服！,1,0,20180
258,PD010093,サッカー応援シューズ,"男子生徒用　サッカー応援シューズを 1年間利用できます",期間限定制服！,1,0,20365
259,PD020090,サッカー応援ハチマキ,"女生徒用　サッカー応援ハチマキを 1日間利用できます",期間限定制服！,2,0,20001
260,PD020090,サッカー応援ハチマキ,"女生徒用　サッカー応援ハチマキを 3日間利用できます",期間限定制服！,2,0,20003
261,PD020090,サッカー応援ハチマキ,"女生徒用　サッカー応援ハチマキを 7日間利用できます",期間限定制服！,2,0,20007
262,PD020090,サッカー応援ハチマキ,"女生徒用　サッカー応援ハチマキを 30日間利用できます",期間限定制服！,2,0,20030
263,PD020090,サッカー応援ハチマキ,"女生徒用　サッカー応援ハチマキを 3ヶ月間利用できます",期間限定制服！,2,0,20090
264,PD020090,サッカー応援ハチマキ,"女生徒用　サッカー応援ハチマキを 6ヶ月間利用できます",期間限定制服！,2,0,20180
265,PD020090,サッカー応援ハチマキ,"女生徒用　サッカー応援ハチマキを 1年間利用できます",期間限定制服！,2,0,20365
266,PD020091,サッカー応援ベアトップ,"女生徒用　サッカー応援ベアトップを 1日間利用できます",期間限定制服！,2,0,20001
267,PD020091,サッカー応援ベアトップ,"女生徒用　サッカー応援ベアトップを 3日間利用できます",期間限定制服！,2,0,20003
268,PD020091,サッカー応援ベアトップ,"女生徒用　サッカー応援ベアトップを 7日間利用できます",期間限定制服！,2,0,20007
269,PD020091,サッカー応援ベアトップ,"女生徒用　サッカー応援ベアトップを 30日間利用できます",期間限定制服！,2,0,20030
270,PD020091,サッカー応援ベアトップ,"女生徒用　サッカー応援ベアトップを 3ヶ月間利用できます",期間限定制服！,2,0,20090
271,PD020091,サッカー応援ベアトップ,"女生徒用　サッカー応援ベアトップを 6ヶ月間利用できます",期間限定制服！,2,0,20180
272,PD020091,サッカー応援ベアトップ,"女生徒用　サッカー応援ベアトップを 1年間利用できます",期間限定制服！,2,0,20365
273,PD020092,サッカー応援ズボン,"女生徒用　サッカー応援ズボンを 1日間利用できます",期間限定制服！,2,0,20001
274,PD020092,サッカー応援ズボン,"女生徒用　サッカー応援ズボンを 3日間利用できます",期間限定制服！,2,0,20003
275,PD020092,サッカー応援ズボン,"女生徒用　サッカー応援ズボンを 7日間利用できます",期間限定制服！,2,0,20007
276,PD020092,サッカー応援ズボン,"女生徒用　サッカー応援ズボンを 30日間利用できます",期間限定制服！,2,0,20030
277,PD020092,サッカー応援ズボン,"女生徒用　サッカー応援ズボンを 3ヶ月間利用できます",期間限定制服！,2,0,20090
278,PD020092,サッカー応援ズボン,"女生徒用　サッカー応援ズボンを 6ヶ月間利用できます",期間限定制服！,2,0,20180
279,PD020092,サッカー応援ズボン,"女生徒用　サッカー応援ズボンを 1年間利用できます",期間限定制服！,2,0,20365
280,PD020093,サッカー応援ブーツ,"女生徒用　サッカー応援ブーツを 1日間利用できます",期間限定制服！,2,0,20001
281,PD020093,サッカー応援ブーツ,"女生徒用　サッカー応援ブーツを 3日間利用できます",期間限定制服！,2,0,20003
282,PD020093,サッカー応援ブーツ,"女生徒用　サッカー応援ブーツを 7日間利用できます",期間限定制服！,2,0,20007
283,PD020093,サッカー応援ブーツ,"女生徒用　サッカー応援ブーツを 30日間利用できます",期間限定制服！,2,0,20030
